date,key,max,twntyfv,fiftn,unshared
0:00,shared,36,11,11,117
0:00,unshared,39,79,81,0
1:00,shared,34,21,18,104
1:00,unshared,36,58,64,0
2:00,shared,23,14,7,84
2:00,unshared,30,47,61,0
3:00,shared,12,5,4,62
3:00,unshared,35,48,48,0
4:00,shared,7,2,1,33
4:00,unshared,19,28,30,0
5:00,shared,2,0,0,19
5:00,unshared,14,18,18,0
6:00,shared,1,0,0,19
6:00,unshared,16,18,18,0
7:00,shared,5,2,2,40
7:00,unshared,29,35,35,0
8:00,shared,7,6,2,46
8:00,unshared,29,31,39,0
9:00,shared,4,2,1,44
9:00,unshared,34,38,40,0
10:00,shared,5,1,2,47
10:00,unshared,30,38,36,0
11:00,shared,11,6,3,44
11:00,unshared,25,34,40,0
12:00,shared,6,3,0,37
12:00,unshared,20,25,30,0
13:00,shared,8,3,1,44
13:00,unshared,27,35,39,0
14:00,shared,9,5,3,66
14:00,unshared,44,52,55,0
15:00,shared,11,5,5,54
15:00,unshared,29,41,40,0
16:00,shared,19,9,9,78
16:00,unshared,31,49,51,0
17:00,shared,24,12,6,89
17:00,unshared,36,58,70,0
18:00,shared,37,15,12,111
18:00,unshared,30,71,77,0
19:00,shared,38,18,12,123
19:00,unshared,40,74,86,0
20:00,shared,37,25,15,134
20:00,unshared,48,72,91,0
21:00,shared,37,19,10,127
21:00,unshared,40,72,89,0
22:00,shared,42,19,15,149
22:00,unshared,55,98,104,0
23:00,shared,36,19,14,131
23:00,unshared,45,75,87,0
