date,key,value
0:00,shared,36
0:00,unshared,39
1:00,shared,34
1:00,unshared,36
2:00,shared,23
2:00,unshared,30
3:00,shared,12
3:00,unshared,35
4:00,shared,7
4:00,unshared,19
5:00,shared,2
5:00,unshared,14
6:00,shared,1
6:00,unshared,16
7:00,shared,5
7:00,unshared,29
8:00,shared,7
8:00,unshared,29
9:00,shared,4
9:00,unshared,34
10:00,shared,5
10:00,unshared,30
11:00,shared,11
11:00,unshared,25
12:00,shared,6
12:00,unshared,20
13:00,shared,8
13:00,unshared,27
14:00,shared,9
14:00,unshared,44
15:00,shared,11
15:00,unshared,29
16:00,shared,19
16:00,unshared,31
17:00,shared,24
17:00,unshared,36
18:00,shared,37
18:00,unshared,30
19:00,shared,38
19:00,unshared,40
20:00,shared,37
20:00,unshared,48
21:00,shared,37
21:00,unshared,40
22:00,shared,42
22:00,unshared,55
23:00,shared,36
23:00,unshared,45
