key,value,date,
1,173,10/01/15,
1,280,10/02/15,
1,305,10/03/15,
1,219,10/04/15,
1,174,10/05/15,
1,201,10/06/15,
1,200,10/07/15,
1,210,10/08/15,
1,232,10/09/15,
1,254,10/10/15,
1,236,10/11/15,
1,156,10/12/15,
1,207,10/13/15,
1,177,10/14/15,
1,192,10/15/15,
1,265,10/16/15,
1,272,10/17/15,
1,273,10/18/15,
1,214,10/19/15,
1,169,10/20/15,
1,199,10/21/15,
1,202,10/22/15,
1,242,10/23/15,
1,292,10/24/15,
1,223,10/25/15,
1,174,10/26/15,
1,195,10/27/15,
1,254,10/28/15,
1,237,10/29/15,
1,238,10/30/15,
1,293,10/31/15,
1,74,11/01/15,
2,31,10/01/15,
2,35,10/02/15,
2,48,10/03/15,
2,36,10/04/15,
2,38,10/05/15,
2,31,10/06/15,
2,33,10/07/15,
2,31,10/08/15,
2,36,10/09/15,
2,50,10/10/15,
2,34,10/11/15,
2,29,10/12/15,
2,20,10/13/15,
2,27,10/14/15,
2,18,10/15/15,
2,28,10/16/15,
2,31,10/17/15,
2,30,10/18/15,
2,31,10/19/15,
2,20,10/20/15,
2,25,10/21/15,
2,34,10/22/15,
2,31,10/23/15,
2,36,10/24/15,
2,23,10/25/15,
2,29,10/26/15,
2,15,10/27/15,
2,47,10/28/15,
2,28,10/29/15,
2,32,10/30/15,
2,27,10/31/15,
2,4,11/01/15,
3,1,10/01/15,
3,4,10/02/15,
3,5,10/03/15,
3,0,10/04/15,
3,1,10/05/15,
3,1,10/06/15,
3,3,10/07/15,
3,2,10/08/15,
3,0,10/09/15,
3,1,10/10/15,
3,2,10/11/15,
3,3,10/12/15,
3,0,10/13/15,
3,0,10/14/15,
3,0,10/15/15,
3,2,10/16/15,
3,3,10/17/15,
3,1,10/18/15,
3,2,10/19/15,
3,0,10/20/15,
3,1,10/21/15,
3,0,10/22/15,
3,1,10/23/15,
3,2,10/24/15,
3,1,10/25/15,
3,3,10/26/15,
3,2,10/27/15,
3,2,10/28/15,
3,1,10/29/15,
3,1,10/30/15,
3,4,10/31/15,
3,1,11/01/15,
4,1,10/01/15,
4,0,10/02/15,
4,0,10/03/15,
4,0,10/04/15,
4,0,10/05/15,
4,0,10/06/15,
4,0,10/07/15,
4,0,10/08/15,
4,0,10/09/15,
4,2,10/10/15,
4,1,10/11/15,
4,0,10/12/15,
4,0,10/13/15,
4,0,10/14/15,
4,0,10/15/15,
4,0,10/16/15,
4,0,10/17/15,
4,2,10/18/15,
4,0,10/19/15,
4,0,10/20/15,
4,0,10/21/15,
4,0,10/22/15,
4,1,10/23/15,
4,0,10/24/15,
4,0,10/25/15,
4,0,10/26/15,
4,0,10/27/15,
4,0,10/28/15,
4,0,10/29/15,
4,0,10/30/15,
4,2,10/31/15,
4,0,11/01/15,
5,1,10/01/15,
5,1,10/02/15,
5,2,10/03/15,
5,2,10/04/15,
5,5,10/05/15,
5,2,10/06/15,
5,0,10/07/15,
5,2,10/08/15,
5,2,10/09/15,
5,8,10/10/15,
5,11,10/11/15,
5,2,10/12/15,
5,1,10/13/15,
5,1,10/14/15,
5,4,10/15/15,
5,2,10/16/15,
5,5,10/17/15,
5,9,10/18/15,
5,6,10/19/15,
5,1,10/20/15,
5,1,10/21/15,
5,2,10/22/15,
5,1,10/23/15,
5,1,10/24/15,
5,1,10/25/15,
5,8,10/26/15,
5,5,10/27/15,
5,0,10/28/15,
5,6,10/29/15,
5,10,10/30/15,
5,11,10/31/15,
5,4,11/01/15,
6,5,10/01/15,
6,0,10/02/15,
6,5,10/03/15,
6,9,10/04/15,
6,1,10/05/15,
6,3,10/06/15,
6,0,10/07/15,
6,3,10/08/15,
6,4,10/09/15,
6,4,10/10/15,
6,7,10/11/15,
6,0,10/12/15,
6,0,10/13/15,
6,0,10/14/15,
6,0,10/15/15,
6,6,10/16/15,
6,6,10/17/15,
6,5,10/18/15,
6,2,10/19/15,
6,1,10/20/15,
6,2,10/21/15,
6,3,10/22/15,
6,9,10/23/15,
6,4,10/24/15,
6,8,10/25/15,
6,2,10/26/15,
6,0,10/27/15,
6,0,10/28/15,
6,0,10/29/15,
6,8,10/30/15,
6,6,10/31/15,
6,0,11/01/15,
